# From https://gist.github.com/PawelGerr/cb5886ee26c41ae2386b

.123 application/vnd.lotus-1-2-3
.odft application/vnd.oasis.opendocument.formula-template
.odg application/vnd.oasis.opendocument.graphics
.odh text/plain
.odi application/vnd.oasis.opendocument.image
.odl text/plain
.odm application/vnd.oasis.opendocument.text-master
.odp application/vnd.oasis.opendocument.presentation
.ods application/vnd.oasis.opendocument.spreadsheet
.odt application/vnd.oasis.opendocument.text
.oga audio/ogg
.ogg audio/ogg
.ogv video/ogg
.ogx application/ogg
.omdoc application/omdoc+xml
.one application/onenote
.onea application/onenote
.onepkg application/onenote
.onetmp application/onenote
.onetoc application/onenote
.onetoc2 application/onenote
.opf application/oebps-package+xml
.opml text/x-opml
.oprc application/vnd.palm
.orderedtest application/xml
.org application/vnd.lotus-organizer
.osdx application/opensearchdescription+xml
.osf application/vnd.yamaha.openscoreformat
.osfpvg application/vnd.yamaha.openscoreformat.osfpvg+xml
.otc application/vnd.oasis.opendocument.chart-template
.otf application/x-font-otf
.otg application/vnd.oasis.opendocument.graphics-template
.oth application/vnd.oasis.opendocument.text-web
.oti application/vnd.oasis.opendocument.image-template
.otp application/vnd.oasis.opendocument.presentation-template
.ots application/vnd.oasis.opendocument.spreadsheet-template
.ott application/vnd.oasis.opendocument.text-template
.oxps application/oxps
.oxt application/vnd.openofficeorg.extension
.p text/x-pascal
.p10 application/pkcs10
.p12 application/x-pkcs12
.p7b application/x-pkcs7-certificates
.p7c application/pkcs7-mime
.p7m application/pkcs7-mime
.p7r application/x-pkcs7-certreqresp
.p7s application/pkcs7-signature
.p8 application/pkcs8
.pas text/x-pascal
.paw application/vnd.pawaafile
.pbd application/vnd.powerbuilder6
.pbm image/x-portable-bitmap
.pcap application/vnd.tcpdump.pcap
.pcast application/x-podcast
.pcf application/x-font-pcf
.pcl application/vnd.hp-pcl
.pclxl application/vnd.hp-pclxl
.pct image/x-pict
.pcurl application/vnd.curl.pcurl
.pcx image/x-pcx
.pcz application/octet-stream
.pdb application/vnd.palm
.pdf application/pdf
.pfa application/x-font-type1
.pfb application/x-font-type1
.pfm application/x-font-type1
.pfr application/font-tdpfr
.pfx application/x-pkcs12
.pgm image/x-portable-graymap
.pgn application/x-chess-pgn
.pgp application/pgp-encrypted
.pic image/x-pict
.pict image/pict
.pkg application/octet-stream
.pkgdef text/plain
.pkgundef text/plain
.pki application/pkixcmp
.pkipath application/pkix-pkipath
.pko application/vnd.ms-pki.pko
.plb application/vnd.3gpp.pic-bw-large
.plc application/vnd.mobius.plc
.plf application/vnd.pocketlearn
.pls application/pls+xml
.pma application/x-perfmon
.pmc application/x-perfmon
.pml application/vnd.ctc-posml
.pmr application/x-perfmon
.pmw application/x-perfmon
.png image/png
.pnm image/x-portable-anymap
.pnt image/x-macpaint
.pntg image/x-macpaint
.pnz image/png
.portpkg application/vnd.macports.portpkg
.pot application/vnd.ms-powerpoint
.potm application/vnd.ms-powerpoint.template.macroenabled.12
.potx application/vnd.openxmlformats-officedocument.presentationml.template
.ppa application/vnd.ms-powerpoint
.ppam application/vnd.ms-powerpoint.addin.macroenabled.12
.ppd application/vnd.cups-ppd
.ppm image/x-portable-pixmap
.pps application/vnd.ms-powerpoint
.ppsm application/vnd.ms-powerpoint.slideshow.macroenabled.12
.ppsx application/vnd.openxmlformats-officedocument.presentationml.slideshow
.ppt application/vnd.ms-powerpoint
.pptm application/vnd.ms-powerpoint.presentation.macroenabled.12
.pptx application/vnd.openxmlformats-officedocument.presentationml.presentation
.pqa application/vnd.palm
.prc application/x-mobipocket-ebook
.pre application/vnd.lotus-freelance
.prf application/pics-rules
.prm application/octet-stream
.prx application/octet-stream
.ps application/postscript
.psb application/vnd.3gpp.pic-bw-small
.psc1 application/PowerShell
.psd image/vnd.adobe.photoshop
.psess application/xml
.psf application/x-font-linux-psf
.pskcxml application/pskc+xml
.psm application/octet-stream
.psp application/octet-stream
.ptid application/vnd.pvi.ptid1
.pub application/x-mspublisher
.pvb application/vnd.3gpp.pic-bw-var
.pwn application/vnd.3m.post-it-notes
.pwz application/vnd.ms-powerpoint
.pya audio/vnd.ms-playready.media.pya
.pyv video/vnd.ms-playready.media.pyv
.qam application/vnd.epson.quickanime
.qbo application/vnd.intu.qbo
.qfx application/vnd.intu.qfx
.qht text/x-html-insertion
.qhtm text/x-html-insertion
.qps application/vnd.publishare-delta-tree
.qt video/quicktime
.qti image/x-quicktime
.qtif image/x-quicktime
.qtl application/x-quicktimeplayer
.qwd application/vnd.quark.quarkxpress
.qwt application/vnd.quark.quarkxpress
.qxb application/vnd.quark.quarkxpress
.qxd application/vnd.quark.quarkxpress
.qxl application/vnd.quark.quarkxpress
.qxt application/vnd.quark.quarkxpress
.ra audio/x-pn-realaudio
.ram audio/x-pn-realaudio
.rar application/x-rar-compressed
.ras image/x-cmu-raster
.rat application/rat-file
.rc text/plain
.rc2 text/plain
.rcprofile application/vnd.ipunplugged.rcprofile
.rct text/plain
.rdf application/rdf+xml
.rdlc application/xml
.rdz application/vnd.data-vision.rdz
.rep application/vnd.businessobjects
.res application/x-dtbresource+xml
.resx application/xml
.rf image/vnd.rn-realflash
.rgb image/x-rgb
.rgs text/plain
.rif application/reginfo+xml
.rip audio/vnd.rip
.ris application/x-research-info-systems
.rl application/resource-lists+xml
.rlc image/vnd.fujixerox.edmics-rlc
.rld application/resource-lists-diff+xml
.rm application/vnd.rn-realmedia
.rmi audio/midi
.rmp audio/x-pn-realaudio-plugin
.rms application/vnd.jcp.javame.midlet-rms
.rmvb application/vnd.rn-realmedia-vbr
.rnc application/relax-ng-compact-syntax
.roa application/rpki-roa
.roff text/troff
.rp9 application/vnd.cloanto.rp9
.rpm audio/x-pn-realaudio-plugin
.rpss application/vnd.nokia.radio-presets
.rpst application/vnd.nokia.radio-preset
.rq application/sparql-query
.rqy text/x-ms-rqy
.rs application/rls-services+xml
.rsd application/rsd+xml
.rss application/rss+xml
.rtf application/rtf
.rtx text/richtext
.ruleset application/xml
.s text/x-asm
.s3m audio/s3m
.saf application/vnd.yamaha.smaf-audio
.safariextz application/x-safari-safariextz
.sbml application/sbml+xml
.sc application/vnd.ibm.secure-container
.scd application/x-msschedule
.scm application/vnd.lotus-screencam
.scq application/scvp-cv-request
.scs application/scvp-cv-response
.sct text/scriptlet
.scurl text/vnd.curl.scurl
.sd2 audio/x-sd2
.sda application/vnd.stardivision.draw
.sdc application/vnd.stardivision.calc
.sdd application/vnd.stardivision.impress
.sdkd application/vnd.solent.sdkm+xml
.sdkm application/vnd.solent.sdkm+xml
.sdp application/sdp
.sdw application/vnd.stardivision.writer
.sea application/octet-stream
.searchConnector-ms application/windows-search-connector+xml
.see application/vnd.seemail
.seed application/vnd.fdsn.seed
.sema application/vnd.sema
.semd application/vnd.semd
.semf application/vnd.semf
.ser application/java-serialized-object
.setpay application/set-payment-initiation
.setreg application/set-registration-initiation
.settings application/xml
.sfd-hdstx application/vnd.hydrostatix.sof-data
.sfs application/vnd.spotfire.sfs
.sfv text/x-sfv
